Vudu_sm_id,Vudu_id,Rovi_id,Rovi_SM_id,projectx_id_rovi,projectx_id_Vudu,Dev_Vudu_px_mapped,Dev_rovi_px_mapped,another_rovi_id_present,another_Vudu_id_present,series_id_match,Px_series_id,Episode mapping,Comment
132909,10349,1561842,1561837,2833854,2833854,,,,,,,Pass,Pass
132909,132915,1572596,1561837,2833984,2833984,,,,,,,Pass,Pass
132909,132916,1571573,1561837,2833891,2833891,,,,,,,Pass,Pass
132909,132917,1573705,1561837,2834077,2834077,,,,,,,Pass,Pass
132909,132918,1577823,1561837,2834166,2834166,,,,,,,Pass,Pass
132909,132919,1585289,1561837,2834255,2834255,,,,,,,Pass,Pass
132909,132920,1591134,1561837,2834341,2834341,,,,,,,Pass,Pass
132909,132921,1595081,1561837,2834442,2834442,,,,,,,Pass,Pass
132909,132922,1598733,1561837,2834539,2834539,,,,,,,Pass,Pass
132909,132923,1604376,1561837,2834631,2834631,,,,,,,Pass,Pass
132909,132924,1606067,1561837,2834725,2834725,,,,,,,Pass,Pass
132909,132925,1609483,1561837,2834819,2834819,,,,,,,Pass,Pass
132909,132926,1612494,1561837,2834926,2834926,,,,,,,Pass,Pass
132909,132927,1616781,1561837,2834955,2834955,,,,,,,Pass,Pass
132909,132928,1629223,1561837,2835056,2835056,,,,,,,Pass,Pass
132909,132929,1631923,1561837,2835152,2835152,,,,,,,Pass,Pass
132909,132930,1640021,1561837,2835290,2835290,,,,,,,Pass,Pass
132909,132931,1642086,1561837,2835372,2835372,,,,,,,Pass,Pass
132909,132932,1643860,1561837,2835467,2835467,,,,,,,Pass,Pass
132909,132933,1648075,1561837,2835557,2835557,,,,,,,Pass,Pass
132909,132934,1652468,1561837,2835635,2835635,,,,,,,Pass,Pass
132909,132935,1656969,1561837,2835756,2835756,,,,,,,Pass,Pass
132909,132936,1695837,1561837,2835869,2835869,,,,,,,Pass,Pass
132909,132937,1697406,1561837,2836082,2836082,,,,,,,Pass,Pass
132909,132938,1697403,1561837,2835948,2835948,,,,,,,Pass,Pass
132909,132939,1705212,1561837,2836117,2836117,,,,,,,Pass,Pass
132909,132940,1711423,1561837,2836241,2836241,,,,,,,Pass,Pass
132909,132941,1716651,1561837,2836307,2836307,,,,,,,Pass,Pass
132909,132942,1725120,1561837,2836423,2836423,,,,,,,Pass,Pass
132909,132943,1728552,1561837,2836543,2836543,,,,,,,Pass,Pass
132909,132944,1733661,1561837,2836660,2836660,,,,,,,Pass,Pass
132909,132945,1742624,1561837,2836771,2836771,,,,,,,Pass,Pass
132909,132946,18073378,1561837,2846766,2846766,,,,,,,Pass,Pass
132909,132947,1747041,1561837,2836803,2836803,,,,,,,Pass,Pass
132909,132948,1761311,1561837,2836883,2836883,,,,,,,Pass,Pass
132909,132949,1780009,1561837,2837003,2837003,,,,,,,Pass,Pass
132909,132950,1780025,1561837,2837168,2837168,,,,,,,Pass,Pass
132909,132951,1780048,1561837,2837213,2837213,,,,,,,Pass,Pass
132909,132952,1811920,1561837,2837347,2837347,,,,,,,Pass,Pass
132909,132953,1815771,1561837,2837526,2837526,,,,,,,Pass,Pass
132909,132954,1798908,1561837,2837235,2837235,,,,,,,Pass,Pass
132909,132955,1820228,1561837,2837615,2837615,,,,,,,Pass,Pass
132909,132956,1823904,1561837,2837737,2837737,,,,,,,Pass,Pass
132909,132957,1813288,1561837,2837432,2837432,,,,,,,Pass,Pass
132909,132980,2041514,1561837,2839707,2839707,,,,,,,Pass,Pass
132909,132981,2053447,1561837,2839820,2839820,,,,,,,Pass,Pass
132909,132982,2056962,1561837,2840081,2840081,,,,,,,Pass,Pass
132909,132983,2057252,1561837,2840149,2840149,,,,,,,Pass,Pass
132909,132984,2065699,1561837,2840389,2840389,,,,,,,Pass,Pass
132909,132985,2065697,1561837,2840273,2840273,,,,,,,Pass,Pass
132909,132986,2080743,1561837,2840434,2840434,,,,,,,Pass,Pass
132909,132987,2082973,1561837,2840525,2840525,,,,,,,Pass,Pass
132909,132988,2083775,1561837,2840635,2840635,,,,,,,Pass,Pass
132909,132989,2104973,1561837,2840669,2840669,,,,,,,Pass,Pass
132909,132990,2108703,1561837,2840801,2840801,,,,,,,Pass,Pass
132909,132991,2110383,1561837,2840872,2840872,,,,,,,Pass,Pass
132909,132992,2114237,1561837,2840936,2840936,,,,,,,Pass,Pass
132909,132993,2120254,1561837,2840984,2840984,,,,,,,Pass,Pass
132909,132994,2120252,1561837,2840956,2840956,,,,,,,Pass,Pass
132909,132995,2140186,1561837,2841017,2841017,,,,,,,Pass,Pass
132909,132996,2147890,1561837,2841122,2841122,,,,,,,Pass,Pass
132909,132997,2147893,1561837,2841225,2841225,,,,,,,Pass,Pass
132909,132998,2147894,1561837,2841253,2841253,,,,,,,Pass,Pass
132909,132999,2171952,1561837,2841278,2841278,,,,,,,Pass,Pass
132909,133000,2056949,1561837,2839943,2839943,,,,,,,Pass,Pass
132909,133001,2263675,1561837,2841380,2841380,,,,,,,Pass,Pass
132909,133002,2270399,1561837,2841559,2841559,,,,,,,Pass,Pass
132909,133003,2269331,1561837,2841485,2841485,,,,,,,Pass,Pass
132909,133004,2272214,1561837,2841596,2841596,,,,,,,Pass,Pass
132909,133005,2274250,1561837,2841643,2841643,,,,,,,Pass,Pass
132909,133006,2276687,1561837,2841744,2841744,,,,,,,Pass,Pass
132909,133007,2276693,1561837,2841786,2841786,,,,,,,Pass,Pass
132909,133008,2276698,1561837,2841803,2841803,,,,,,,Pass,Pass
132909,133009,2287819,1561837,2841858,2841858,,,,,,,Pass,Pass
132909,133010,2291442,1561837,2841968,2841968,,,,,,,Pass,Pass
132909,133011,2294487,1561837,2842073,2842073,,,,,,,Pass,Pass
132909,133012,2302954,1561837,2842128,2842128,,,,,,,Pass,Pass
132909,133013,2310013,1561837,2842231,2842231,,,,,,,Pass,Pass
132909,133014,2312766,1561837,2842314,2842314,,,,,,,Pass,Pass
132909,133656,2316091,1561837,2842355,2842355,,,,,,,Pass,Pass
132909,134019,2319051,1561837,2842456,2842456,,,,,,,Pass,Pass
